sms,category
"{'message': 'ALERT: Beware of fraudulent calls or SMS claiming to be from telecom authorities (TRAI/DoT) or impersonating police, cybercrime, customs, courier, postal department and others. Scammers may falsely accuse you of illegal activities to deceive you into sharing sensitive information like family details, financial credentials, or OTPs. Never share personal information or transfer any money to them. Report such suspicious calls or messages immediately to Helpline 1930 or portal https://cybercrime.gov.in and https://sancharsaathi.gov.in/sfc/  Stay alert. Stay safe with Vi'}",Other
{'message': 'Indian Passport holders can now use the FTI-TTP EGATES @select airports in India for Immigration clearance. Visit ftittp.mha.gov.in and register now. MAHPOL'},Travel & Transport
{'message': 'INR 30000.00 credited to A/c no. XX1083 on 31-07-25 at 22:22:04 IST. Info - MOB/TPFT/PRIYESH SHAH HU/9. Chk Bal https://ccm.axbk.in/AXISBK/ltt3Dvko - Axis Bank'},Salary Income
"{'message': 'Last-Call:00:00:11, Charge:Rs0.00, Main-Bal:Rs12.34, ULPack-Exp:10-Dec-25'}",Other
{'message': 'Hello! Now Recharge with Rs 47 and get Unlimited Callertunes for 28 Days! To avail this offer click https://viapp.onelink.me/bSC3/vict01'},Wallet Recharge
"{'message': 'सरकारी अधिकारी, पोलिस, सीबीआय, कस्टम किंवा बँक, वीज, विमा केवायसी यांच्या नावाने तुम्हाला फसवणूकीचे कॉल, एसएमएस येत आहेत का? तर, कृपया संचार साथी पोर्टल www.sancharsaathi.gov.in वर नोंद करा. \r\n \r\nआजच संचार साथी ॲप डाउनलोड करा.  \r\nअँड्रॉइड: https://play.google.com/store/apps/details?id=com.dot.app.sancharsaathi          \r\n\r\niOS: https://apps.apple.com/in/app/sanchar-saathi/id6739700695'}",Subscription Payment
{'message': 'UPI registration on Google Pay has started. Do not share Debit Card details/OTP/expiry date to avoid financial loss. Not you? Report to your bank - Axis Bank'},Refund Or Cashback
{'message': 'UPI Registration Initiated!\nBy Google Pay for your Bank A/c.\nYou will receive your UPI address shortly.\n-HDFC Bank'},Salary Income
"{'message': 'Enjoy non-stop entertainment with Vi Data packs!\nRs33=2GB, 2D\nRs48=3GB+3GB, 3D\nNo SV\nmyvi.in/prepaid/mobile-data-packs'}",Subscription Payment
{'message': 'INR 30000.00 credited to A/c no. XX1083 on 25-07-25 at 11:34:17 IST. Info - MOB/TPFT/PRIYESH SHAH HU/9. Chk Bal https://ccm.axbk.in/AXISBK/ltt3Dvko - Axis Bank'},Salary Income
"{'message': 'Binge more, Pay Less! Recharge with Vi Data packs\nRs33=2GB, 2D\nRs48=3GB+3GB, 3D\nNo SV\nmyvi.in/prepaid/mobile-data-packs'}",Subscription Payment
"{'message': 'ALERT: Beware of fraudulent calls or SMS posing as telecom authorities (TRAI/DoT), police, cybercrime, customs, courier, postal department. Scammers may falsely accuse you of crimes to steal personal details, financial credentials, or OTPs. Never share information or transfer money. To report suspicious calls/messages dial 1930 and visit https://sancharsaathi.gov.in/sfc/ Stay alert. Stay safe with Vi'}",Other
"{'message': 'Binge worry-free this holiday season with Vi Data packs\nRs33=2GB, 2D\nRs48=3GB+3GB, 3D\nNo SV\nmyvi.in/prepaid/mobile-data-packs'}",Subscription Payment
"{'message': 'Long distance family call? Our data pack bridges the distance with love\r\nRs33=2GB, 2D\r\nRs48=3GB+3GB, 3D\r\nNo SV\r\nvi.app.link/px16'}",Other
"{'message': 'iVenus Back to School: MacBook Air from 67,600 & iPad from 30,500\nStudents & teachers get up to 21% OFF\nVisit nearest iVenus Store: ivenus.in/find-a-store'}",Food & Dining
"{'message': ""Enjoy uninterrupted internet during rain or shine with Vi's data packs:\r\nRs33=2GB, 2D\r\nRs48=3GB+3GB, 3D\r\nNo SV\r\nmyvi.in/prepaid/mobile-data-packs""}",Subscription Payment
"{'message': ""Browse, download, stream - all season long with Vi's data packs\r\nRs33=2GB, 2D\r\nRs48=3GB+3GB, 3D\r\nNo SV\r\nmyvi.in/prepaid/mobile-data-packs""}",Subscription Payment
"{'message': 'Hi , Extra 10% off* on Refrigerators + Superrr Exchange Bonus at Croma stores on Tuesdays! Know more http://m.tneu.in/TNCRMA/8Dq1p0M T&C'}",Food & Dining
"{'message': 'Seamless connectivity with Vi Data packs!\r\nRs33=2GB, 2D\r\nRs48=3GB+3GB, 3D\r\nNo SV\r\nmyvi.in/prepaid/mobile-data-packs'}",Food & Dining
